time	ms	value
10:21:23	2072196	1084
10:21:24	2073280	1080
10:21:25	2074360	1068
10:21:26	2075428	1072
10:21:27	2076500	1052
10:21:28	2077552	1064
10:21:29	2078616	1072
10:21:30	2079688	1068
10:21:31	2080756	1048
10:21:32	2081804	1056
10:21:33	2082860	1052
10:21:34	2083912	1016
10:21:35	2084928	1048
10:21:36	2085976	1048
10:21:38	2087024	1040
10:21:39	2088064	1036
10:21:40	2089100	1056
10:21:41	2090156	1024
10:21:42	2091180	1024
10:21:43	2092204	1036
10:21:44	2093240	1028
10:21:45	2094268	980
10:21:46	2095248	988
10:21:47	2096236	1012
10:21:48	2097248	1040
10:21:49	2098288	1020
10:21:50	2099308	980
10:21:51	2100288	968
10:21:52	2101256	976
10:21:53	2102232	964
10:21:54	2103196	956
10:21:55	2104152	952
10:21:56	2105104	948
10:21:57	2106052	928
10:21:57	2106980	932
10:21:58	2107912	916
10:21:59	2108828	932
10:22:00	2109760	1020
10:22:01	2110780	1032
10:22:02	2111812	1028
10:22:03	2112840	1024
10:22:04	2113864	976
10:22:05	2114840	1020
10:22:06	2115860	1044
10:22:07	2116904	1056
10:22:08	2117960	1064
10:22:10	2119024	1044
10:22:11	2120068	1040
10:22:12	2121108	1000
10:22:13	2122108	1036
10:22:14	2123144	1040
10:22:15	2124184	1080
10:22:16	2125264	1068
10:22:17	2126332	1084
10:22:18	2127416	1036
10:22:19	2128452	980
10:22:20	2129432	1040
10:22:21	2130472	1036
10:22:22	2131508	996
10:22:23	2132504	1020
10:22:24	2133524	1000
10:22:25	2134524	1016
10:22:26	2135540	1020
10:22:27	2136560	1012
10:22:28	2137572	996
10:22:29	2138568	996
10:22:30	2139564	1008
10:22:31	2140572	980
10:22:32	2141552	1008
10:22:33	2142560	992
10:22:34	2143552	1020
10:22:35	2144572	1020
10:22:36	2145592	1028
10:22:37	2146620	1032
10:22:38	2147652	1032
10:22:39	2148684	1048
10:22:40	2149732	1048
10:22:41	2150780	1064
10:22:42	2151844	1048
10:22:43	2152892	1064
10:22:44	2153956	1044
10:22:46	2155000	1064
10:22:47	2156064	1044
10:22:48	2157108	1060
10:22:49	2158168	1040
10:22:50	2159208	1056
10:22:51	2160264	1040
10:22:52	2161304	1048
10:22:53	2162352	1040
10:22:54	2163392	1048
10:22:55	2164440	1032
10:22:56	2165472	1044
10:22:57	2166516	1024
10:22:58	2167540	1028
10:22:59	2168568	1008
10:23:00	2169576	1032
10:23:01	2170608	1032
10:23:02	2171640	1028
10:23:03	2172668	1008
10:23:04	2173676	1012
10:23:05	2174688	1016
10:23:06	2175704	980
10:23:07	2176684	1016
10:23:08	2177700	1000
10:23:09	2178700	1012
10:23:10	2179712	1016
10:23:11	2180728	1000
10:23:12	2181728	1036
10:23:13	2182764	1000
10:23:14	2183764	1036
10:23:15	2184800	1024
10:23:16	2185824	1032
10:23:17	2186856	1012
10:23:18	2187868	1036
10:23:19	2188904	1032
10:23:20	2189936	1040
10:23:21	2190976	1040
10:23:23	2192016	1076
10:23:24	2193092	1064
10:23:25	2194156	1068
10:23:26	2195224	1036
10:23:27	2196260	1048
10:23:28	2197308	1024
10:23:29	2198332	1028
10:23:30	2199360	1008
10:23:31	2200368	1024
10:23:32	2201392	1012
10:23:33	2202404	992
10:23:34	2203396	1012
10:23:35	2204408	996
10:23:36	2205404	1032
10:23:37	2206436	1040
10:23:38	2207476	992
10:23:39	2208468	1020
10:23:40	2209488	1020
10:23:41	2210508	988
10:23:42	2211496	980
10:23:43	2212476	992
10:23:44	2213468	1004
10:23:45	2214472	1028
10:23:46	2215500	1004
10:23:47	2216504	1024
10:23:48	2217528	1032
10:23:49	2218560	1024
10:23:50	2219584	1044
10:23:51	2220628	996
10:23:52	2221624	960
10:23:53	2222584	1004
10:23:54	2223588	1056
10:23:55	2224644	1072
10:23:56	2225716	1076
10:23:57	2226792	1056
10:23:58	2227848	1032
10:23:59	2228880	1020
10:24:00	2229900	1004
10:24:01	2230904	1008
10:24:02	2231912	1012
10:24:03	2232924	1012
10:24:04	2233936	1024
10:24:05	2234960	1024
10:24:06	2235984	1032
10:24:08	2237016	1012
10:24:09	2238028	1032
10:24:10	2239060	1028
10:24:11	2240088	1024
10:24:12	2241112	1036
10:24:13	2242148	1032
10:24:14	2243180	1000
10:24:15	2244180	1008
10:24:16	2245188	996
10:24:17	2246184	964
10:24:18	2247148	996
10:24:19	2248144	1008
10:24:20	2249152	980
10:24:21	2250132	1016
10:24:22	2251148	1020
10:24:23	2252168	1024
10:24:24	2253192	1044
10:24:25	2254236	1048
10:24:26	2255284	1036
10:24:27	2256320	1052
10:24:28	2257372	1052
10:24:29	2258424	1040
10:24:30	2259464	1012
10:24:31	2260476	1004
10:24:32	2261480	1020
10:24:33	2262500	1016
10:24:34	2263516	984
10:24:35	2264500	1016
10:24:36	2265516	1012
10:24:37	2266528	1016
10:24:38	2267544	1020
10:24:39	2268564	1000
10:24:40	2269564	1016
10:24:41	2270580	1000
10:24:42	2271580	1016
10:24:43	2272596	992
10:24:44	2273588	1000
10:24:45	2274588	976
10:24:46	2275564	996
10:24:47	2276560	980
10:24:48	2277540	964
10:24:49	2278504	952
10:24:50	2279456	940
10:24:51	2280396	956
10:24:52	2281352	940
10:24:53	2282292	956
10:24:54	2283248	952
10:24:55	2284200	952
10:24:56	2285152	968
10:24:57	2286120	972
10:24:58	2287092	952
10:24:59	2288044	960
10:25:00	2289004	928
10:25:00	2289932	932
10:25:01	2290864	932
10:25:02	2291796	916
10:25:03	2292712	932
10:25:04	2293644	944
10:25:05	2294588	936
10:25:06	2295524	964
10:25:07	2296488	972
10:25:08	2297460	976
10:25:09	2298436	976
10:25:10	2299412	992
10:25:11	2300404	988
10:25:12	2301392	988
10:25:13	2302380	988
10:25:14	2303368	972
10:25:15	2304340	964
10:25:16	2305304	980
10:25:17	2306284	956
10:25:18	2307240	952
10:25:19	2308192	948
10:25:20	2309140	944
10:25:21	2310084	908
10:25:21	2310992	904
10:25:22	2311896	904
10:25:23	2312800	876
10:25:24	2313676	872
10:25:25	2314548	884
10:25:26	2315432	888
10:25:27	2316320	900
10:25:28	2317220	880
10:25:29	2318100	884
10:25:29	2318984	884
10:25:30	2319868	880
10:25:31	2320748	880
10:25:32	2321628	852
10:25:33	2322480	884
10:25:34	2323364	908
10:25:35	2324272	916
10:25:36	2325188	912
10:25:37	2326100	920
10:25:38	2327020	952
10:25:38	2327972	964
10:25:39	2328936	1016
10:25:40	2329952	1012
10:25:41	2330964	992
10:25:42	2331956	1020
10:25:43	2332976	1008
10:25:44	2333984	992
10:25:45	2334976	1024
10:25:47	2336000	1008
10:25:48	2337008	996
10:25:49	2338004	964
10:25:49	2338968	960
10:25:50	2339928	956
10:25:51	2340884	932
10:25:52	2341816	960
10:25:53	2342776	980
10:25:54	2343756	976
10:25:55	2344732	984
10:25:56	2345716	1000
10:25:57	2346716	964
10:25:58	2347680	984
10:25:59	2348664	1012
10:26:00	2349676	992
10:26:01	2350668	992
10:26:02	2351660	1008
10:26:03	2352668	1008
10:26:04	2353676	996
10:26:05	2354672	1036
10:26:06	2355708	1024
10:26:07	2356732	984
10:26:08	2357716	1016
10:26:09	2358732	1020
10:26:10	2359752	1000
10:26:11	2360752	956
10:26:12	2361708	976
10:26:13	2362684	980
10:26:14	2363664	992
10:26:15	2364656	964
10:26:16	2365620	952
10:26:17	2366572	988
10:26:18	2367560	1008
10:26:19	2368568	1036
10:26:20	2369604	1044
10:26:21	2370648	1056
10:26:22	2371704	1076
10:26:23	2372780	1084
10:26:24	2373864	1040
10:26:25	2374904	1064
10:26:26	2375968	1080
10:26:28	2377048	1044
10:26:29	2378092	1060
10:26:30	2379152	1052
10:26:31	2380204	1032
10:26:32	2381236	1076
10:26:33	2382312	1076
10:26:34	2383388	1044
10:26:35	2384432	1064
10:26:36	2385496	1036
10:26:37	2386532	1020
10:26:38	2387552	1036
10:26:39	2388588	988
10:26:40	2389576	972
10:26:41	2390548	956
10:26:42	2391504	972
10:26:43	2392476	944
10:26:44	2393420	972
10:26:45	2394392	952
10:26:46	2395344	976
10:26:47	2396320	972
10:26:48	2397292	952
10:26:49	2398244	968
10:26:50	2399212	944
10:26:51	2400156	972
10:26:52	2401128	956
10:26:53	2402084	944
10:26:54	2403028	944
10:26:54	2403972	920
10:26:55	2404892	940
10:26:56	2405832	928
10:26:57	2406760	944
10:26:58	2407704	940
10:26:59	2408644	924
10:27:00	2409568	932
10:27:01	2410500	932
10:27:02	2411432	940
10:27:03	2412372	932
10:27:04	2413304	940
10:27:05	2414244	940
10:27:06	2415184	960
10:27:07	2416144	980
10:27:08	2417124	980
10:27:09	2418104	984
10:27:10	2419088	980
10:27:11	2420068	948
10:27:12	2421016	944
10:27:12	2421960	928
10:27:13	2422888	928
10:27:14	2423816	904
10:27:15	2424720	916
10:27:16	2425636	892
10:27:17	2426528	892
10:27:18	2427420	892
10:27:19	2428312	896
10:27:20	2429208	900
10:27:21	2430108	912
10:27:22	2431020	932
10:27:22	2431952	928
10:27:23	2432880	936
10:27:24	2433816	940
10:27:25	2434756	928
